Days,narrative text,A,B,C,A Result text,B Result text,C Result Text,A System Settlement,B System Settlement,C System Settlement,,Destruction,Instrument,Bribery,What?,,Truth Clues,Maximum Stamina (initial 10),Minimum stamina (initial 10),Max Magic (initial 10),Magic Minimum (initial 10),Remarks,
Day 10 under the lights,"The iron gate was gently pushed open, and the cold air poured in with the smell of fire oil.
The nun entered the cell in a silver cloak, carrying a lamp in her hand, which reflected her pale face.
She looks at you with a complex calm in her eyes.
""You&hellip; are not the dispenser of that group of healing agents, are you?""
You keep your eyes on her.
Her eyes were written with fear, doubt, and 1 kind of struggling determination.
""I saw the body with my own eyes,"" she whispered,
""The symptoms don't match the sacred records. If you tell the truth, you may be able to save more people.""
Outside the wall, a bell sounded. Like a countdown to the fire.
You know, her every word burns.
And your answer will determine to whom the flame burns.","Confess the truth, plead with her to make false orders","To change the subject, ask her to help you escape",Silence,"You take a deep breath, ""I didn't refine that batch of healing agents.
It has been tampered with, and the provision in the canon about ""sleeping crow pollen"" is false.""
Her lips opened slightly, but made no sound.
""If I ask you to testify to my face, they will only bring trouble to you in my name. Public testimony is useless in this temple. They have written the end. If they want to save me, they must make it look like the 'pardon' came from the court itself."" Your tone is almost begging.
The nun's hands trembled in the light. She took a breath, as if to measure the weight of a 1 soul.
""You want me to perjure myself?"" she asked, her voice low as if she were speaking to herself. You tell her all the clues you 've pieced together.
The nun closed her eyes and said nothing for a long time.
Finally, she said in a low voice, ""I can give you the necessary materials and time, and borrow my copying room and holy oil. In the middle of the night, I will deliberately delay the inspection so that you have a short gap.""","You lowered your voice and said simply, ""The truth won't save my life. If you find a way to get me out of here, can you forge a pardon for me?""
The nun's pupils flash 1, and she looks at you as if she were weighing the weight of 1 sin and 1 life.
""You want me to break my oath?"" she whispered.
You held her hand in a tone that was almost begging:
""If not, you will also be responsible for the death of more people. Let us live first and then fight for the truth.""
She hesitated. Eventually she hid her face back into the wide cloak and whispered, ""I'll think of something.","You are silent. The lights stretched her face, and the bells outside the walls chilled like a metronome.
The nun looked at you for a long time and finally sighed-there was disappointment in that sigh.
""I thought you were going to say something."" She whispered.
She put on her cloak again, and the lights shrunk on her back.
""May God be your witness.""
She turned away, her footsteps far away on the stone steps, and the cell fell back into the silence of only you and the fire.",Get a clue: The promise of the nun (clerical line advance),Get a clue: The promise of the nun (clerical line advance),,,5,5,4,4,,8,30,0,30,5,,
Day 11 Holy Ember Sacrifice,"Today is the Holy Ember, the Holy See's annual festival of atonement,
It is said that on this day, burning ashes can bring mortal sin to heaven, and fire is the language of God's forgiveness.
The whole prison was filled with 1 strange light breath. The guards changed into festival robes and went to the square to listen to the sermons of the divine officials. The jailer's laughter mixed with alcohol in the shadow of the corridor.
Ryan creeps up on you, eyes flashing.
""Today is the chance,"" he said in a low voice. ""Only half the men are left on the patrol. I'll pick the lock and you'll make the medicine... Just one last step away. Either today or their fire will swallow us.""
You stare at the powder of the fire oil powder, and the light jumps in it, as if you see your own destiny burning.
You know this mixture is extremely dangerous, and the slightest mistake will backbite.
But if you succeed-the wall of this cage will give you a gap to freedom.","HPMP value &ge; 25 and failure line progress &ge; 3,
Start making explosive potion","HPMP value <25 or damage line progress <3,
struggle to make explosive potion",Refuse to produce,"You take a deep breath and start mixing the explosive potion.
The oil powder burst into a blazing light in the bottle, and the air was stirred by magic, giving a low hum.
Every proportion, every oscillation, is testing the boundary between life and death.
The last 1 drops in.
-- The world then split.
The hot wind rolled up dust and dust, and the stone walls were like torn skins.
The flames were blazing into the sky, the bars were lifted,
You and Ryan looked at each other in the smoke and dust, and no one had time to laugh.
You rushed out of the ventilation shaft and crawled along the hot iron vein.
The air outside was cold to the bone, but it smelled of freedom.
The echo of the explosion came from behind, and the fire turned into 1 huge holy emblem in the night sky-and the symbol of divine power was burning, crumbling and falling.","You nod, but feel your hands shaking.
That's not fear, it's overdraft.
You force yourself to steady your wrist and pour the powder of fire oil into the flask.
The fire flashed on the glass wall, the material was not completely fused, and the bubbles in the bottle began to darken.
""No&hellip; stop!"" shouted Ryan.
It's too late.
A white light pierced the air and the heat wave burst.
Your ears buzz and the world is a searing silence.
The walls caved in and flames engulfed half the prison area.
You stumble to rush out, but you see Ryan lying between blood and ash.
You knelt down and stretched out your hand to pull him, but you couldn't catch anything-the ashes were slipping through your fingers.","You shake your head. ""Today is not the day.""
Ryan was stunned for a moment, his eyes flashing,
The light shone on his face, reflecting both anger and disappointment. ""You are afraid to die.""
""I'm afraid of dying in vain."" You whisper.
He sneered, turned around and pulled the rusty iron hook from under the bed board.
""Then it depends on whether I can live longer than you.""
He squatted in front of the iron door and began to pick the lock.
The sound of chains rubbing was particularly harsh in the silent prison area. You didn't stop it.
After a long while, the 1 sound of the lock ""click"" was disconnected.
Ryan looks at you, with sarcasm in his eyes.
""If I get out alive, I will tell them that you taught me to make the medicine.""
You didn't respond. Just watch him disappear into the shadows of the hallway. The night swallowed his steps.
A moment later, alarm bells sounded in the distance, and the sound of the guards' horns echoed through the stone walls.
You leaned against the wall and listened quietly to the noise.
There was no explosion, no fire.
You don't know if he escaped from that wall or fell in a corner where there was no dawn.","Trigger Ending: [Iron Road]]

The flame opens the way, and the bones form a bridge; mortals knock on the door of fate with flesh and blood.

You and Ryan left prison in the morning fog.
The tracks stretched out into the endless plains, and the wind blew through the scorched earth.
""We really came out,"" Raine said with a laugh.
You don't answer, just look at the distant red sky.
The railway under your feet is a miraculous passage for the holy carriage.
Now it will lead you to the mortal world.
Where the fire goes out, your shadows are stretched by the morning light, like two slender cracks-sliced through the shell of theocracy.","Trigger Ending: [Grey Falling]]

Power is not enough, faith burns. The mortals reach out and touch the fire, and they are engulfed by it.

After the fire, the bell of the holy embers rang again.
The Holy See's announcement read: ""Two heretics who attempted to escape from prison on the night of the festival have been purified by the Holy Flame.""
No one mentions your name, only the wind on the charred wall, repeating the distorted echo-""freedom.""","Stamina +2
Magic +2 

The result of Rennes's escape was not reported, and the church ordered increased guards the following day.
The prison was doubled in manpower, the night patrol was changed to two shifts, the fire was sealed, and all the tools for refining medicine were confiscated.
""In case there are any more heretical attempts to use medicine to cure evil.""
After this day, the destruction of the road was completely blocked.
If you still want to live, the only way is to continue between lies and faith-to find a gap that leads to life. (Damage Line Termination) ",,End,5,4,4,,8,32,2,37,7,,
Day 12 Seal of Pardon,"The air in the infirmary smelled of alcohol and holy oil.
Candlelight beat, reflecting the luster of iron and parchment.
The nun pushed the door in, her face more haggard in the light.
She was holding in her hand the draft volume of the pardon, with the Vatican seal that you and she had copied.
""After tonight, they'll switch shifts. If you want to forge the vice president's signature, it's now.""
Her voice was light, but with determination.
You can feel the beating of your pulse and the weight of your feather pen.
Every stroke may determine whether you are forgiven or die of a lie.
The candles are reflected in the holy emblem, and the light is like examining-who is God forgiving?","HPMP value &ge; 25 and paperwork line progress &ge; 3,
Forged signature","HPMP value <25 or paperwork line progress <3,
Try to forge a signature",Give up forgery and find another way out,"You lower your breath and spread the pardon on the table.
The feather pen is dipped in holy ink, and every stroke drawn from the nib is like a subtle prayer.
""The stroke ends-yes, the vice president is used to leaning to the lower left."" The nun whispered a reminder.
You nod, your fingertips shake 1, and finally your 1 strokes fall.
The candlelight flashed, and the ink flowed in the light with the same reflection as the real thing.
You look at each other for a moment. She gave a faint smile. ""The pardon is complete.""
In the middle of the night, you put on your shackles and carried the pardon, disguised as a prisoner who was transferred to the higher trial hall.
The doorman took the document, the holy emblem reflected in his eyes.
He hesitated for a moment, then bowed 1.
""The will of the Lord cannot be questioned.""
The iron gate slowly opened, the night wind poured in, and you stepped out on the threshold of the prison.","The feather pen is slipping in your hand.
The holy ink dripped on the parchment, blooming in the light, like blood.
""Wait-that's not right!"" exclaimed the nun.
You are in a hurry to mend, but the name of the vice president has been askew.
Footsteps sounded outside the door. The candlelight gave a jerk.
The door was pushed open and the Inquisitor broke in at the same time as the guard.
""Forged pardon?!""
You were pressed to the ground with the nun in front of you.
There was no fear in her eyes, only relief.
""If God does not forgive you, I will.""
A flash of sword light. The candle went out.","You drop the feather pen. The candlelight flickered on the ink,
The light is like reminding you that the words on this paper do not belong to you.
The nun was shocked. ""Don't you try?""
""A false pardon can save me once, but the truth can kill me countless times.""
She was silent, nodding. ""Then find another way.
I will leave this pardon-maybe someone will use it in the future.""
As you left the infirmary, you heard a distant cry of prayer:
""May the flame of the Lord behold vanity.""","Trigger Ending: [Pardon Illusion]]

The forged pardon shines with divine brilliance.
The Holy Array resolved itself, and the crowd fell to their knees and shouted ""miracles"".
You walked out of the prison gate and saw a new sign hanging in the street:
""Healing Agent Event Principal: Ise Layton. Execution at the stake.""
You look down and smile.
The pardon is still shining-it is true.","Trigger Ending: [Oath Under Fire]]

Lies and beliefs are burnt offerings.

The announcement was issued the next morning: ""The heretical Iis and the fallen nun Ivy attempted to forge a pardon in the infirmary and were executed on the spot to correct the divine law.""
You were burned in the same fire as her body.
When the flame burns out, the remaining seal on the emblem remains intact.","Stamina +2
Magic +2 


The candlelight in the infirmary stayed up all night,
The draft of the pardon on the table was still there, like a forgotten salvation.
And the prison wind suddenly tightened, and inspections were doubled.
The time has passed for paperwork forgery,
If you want to live, you must find another way. (Paperwork Line Termination) ",,End,End,4,4,,8,34,4,39,9,,
Day 13 Hidden Fire,"The night was deep, and the wind poured in from the ventilation shaft, with the smell of ashes and cold iron.
The sound of the jailer's patrol drifted away, and an anonymous note was tucked under the door.
Mottled ink, but familiar to make your heart 1 tight.
""At 3 noon, the end of the ventilation pipe. Someone to meet.""
-It's Vera.
Do you remember when she first appeared, the ""3"" of her eyes and fingertips on the day of the trial "".
Later, her message through the brick cracks, the wind, the altar of the ash, again and again in your most desperate time.
She said she was no longer Vera and only called herself ""Hidden Fire"".
It is said that it is an organization that was exiled by the scripture as early as a hundred years ago.
They do not serve the Church, nor do they believe in theocracy,
Claiming that ""mortals should not be executed in the name of God"".
And now, this hidden fire's outstretched hand is at the end of the prison, waiting for you to stretch out your hand.",Escape with Vera,Sell the message to the jailer,Hold still.,"Late at night, you drill into the vent and your elbows and knees are bruised by the iron wall.
You crawl, you breathe, you pray.
There was a ray of light at the end of the pipe. 1 a hand out.
""Elise."" The sound is gentle, like in a dream.
""Outside is waiting for you. The prison of the church is only worthy of trapping the beast, not the enlightened one.""
She takes you out of the air. The night wind blows in your face and you almost laugh out loud.
""Is it really free?"" you ask.
Vera hands you 1 a firelight. ""Quick, the army of the main church is on its way. You must leave.""
""Take it and light the way forward.""
Firelight jumps-you look down and see the nicks in the lampshade:
""The redemption of mortals will be in their bodies.""
A sharp pain penetrated the chest.
You live. ""Why?""
She whispered, ""Because they won't believe the exile. But they will believe a dead refined medicine man.""
You look back, but only see his back figure.
""Thank you, Elise. Your blood will open a new dawn.""","Instead of immediately tearing up the note, you stared at it for a long time.
Ink mixed with moisture, like a wet contract.
You move in your heart--
If someone can help you open the ventilation shaft, it may not be him, but the gatekeeper.
When the night patrol passed by, you knocked on the cell door. ""Want to hear something that will get you promoted?""
The jailer approached suspiciously.
You look up and your voice is flat:
""Somebody will be escaping through a ventilation pipe at noon 3 this evening. They are not ordinary prisoners.""
The jailer frowned and his eyes twinkled. ""What do you want?""
You spread out your hands and motioned for nothing. ""I just want to live longer.""
The jailer was silent for a moment, then took off the key from his waist and tapped 3 on the iron door.
""If there's a wind tonight, you haven't heard anything.""
He turned away, his footsteps fading away.
You curled up in the shadows, your heartbeat blunt in your chest.
Tomorrow's dawn, will anyone die?
You're not sure. All you know-you live another day.","You have no movement. Just silently looking at the note.
The wind blew through the ventilation shaft and carried away half a piece of debris.
You stretch out your hand, but you only catch 1 wisps of ashes.
It was late at night. Suddenly there was a commotion in the distance, mixed with metal breaks and short shrieks.
You understand, that's a signal for Vera to move.
The candlelight flickers, and you lean against the wall until the fire shines through the bars and cast a shadow on the ground.","Trigger Ending: [Concealed Fire]]

At dawn, there was a chaotic chime of bells outside the church.
1 charred bodies lay on the stone steps outside the temple.

A few days later, an anonymous manifesto spread throughout the kingdom:
""God's court has fallen, and mortal blood will purify the world.""
Rumors began in the streets: the church killed innocent people indiscriminately.
Rebellion, liquidation, bloodshed--
Everything is as the hidden fire wishes.
And your name has become a new slogan.","Stamina +2
Magic +2 

The next day,
The jailer passed by your prison door,
Fingers in the waist on the key gently 1 stroke, eyes flashed over you, no stop.
A cold, hard piece of bread was left on the table.
You take the next bite and it tastes bitter like iron.
This is your ""gift""-a day of peace and a silent conspiracy. (bribe line advance) (? line termination)","Stamina +2
Magic +2 

The next morning, the air duct was closed and inspections were doubled.
The prisoners whispered that someone had opened the air duct last night.
You didn't say anything.
The ventilation wellhead has been riveted to death, the key has been redistributed, and the time for prison robbery has passed forever.
If you want to live, you have to find another way. (? Line termination) ",,End,End,5,End,,8,36,6,41,11,,
Day 14 Priceless Night,"The eve of the trial.
The prison smelled of iron and medicine. The horn of the fire will be blown before dawn.
You're sitting in the shadows with that bottle of painkiller in your hand.
The medicine of the black rat hair has long dried into powder, mixed with stone turpentine and sesame oil.
This is your last chip.
Outside the door came the sound of patrolling footsteps. The familiar jailer stopped at the iron gate,
He looks at you like he's measuring a price.
You know-after tonight, it's freedom or ashes.","HPMP value &ge; 25 and bribe line progress &ge; 3,
bribing the jailer with pain-relieving cream","HPMP value <25 or bribe line progress <3,
Trying to muddle through","Give up the bribe, wait for trial","You remove the cork of the painkiller cream and 1 a cold, spicy fragrance of the medicine to disperse in the air.
The light shakes, shining on the fine powder of your fingertips-black rat hair, stone turpentine, mixed with laurel oil.
The jailer stopped outside the door.
He was still wrapped in a heavy leather coat, but the bandages of his arms were already oozing with dark blood.
You whispered, ""Your old injury&hellip; I'm afraid it's happened again, isn't it?""
The jailer snorted 1 and turned his head to stare at you warily.
Slowly lift the bottle. ""I can get you back in arms, like before.
He was silent for a long time, his eyes wandering between you and the bottle. ""What do you want?""
You answered calmly: ""The key. And a chance to leave.""
The jailer gave a low 1 laugh. ""Are you trying to bribe me? With 1 bottle of pills?""
""Then I'll give you more pain."" You meet his eyes,
""As long as I live, you can get this medicine every month-you know you can't buy it outside the formula.""
The silence between the iron gates stretched extremely long.
Finally, he reached for the bottle, a little stiff.
""Before dawn, the door on the east porch is the loosest on patrol. After three bells, go north. Don't look back.""
He finished speaking, took out the key and turned it gently on the iron lock.
""If you lie to me,"" he lowered his voice,
""I will capture you with my own hands-not for faith, but for pain.""
You didn't even hear the key when it fell into your hands.
You push open the door, and the wind comes in from outside-with the smell of ash, iron and salt.","When you open the medicine bag, your heart is 1 cold-the material is insufficient, and the stone resin is also eroded by moisture.
It was only two hours before dawn. If you delay and change patrols, you won't even have a chance to bribe.
You grind your teeth, the current medicine does not add laurel oil, but the jailer does not understand the medicine and may be able to muddle through.
When the jailer comes, you hold up the bottle and whisper, ""Your old wound&hellip; I'm afraid it's going to happen again, isn't it?""
The jailer snorted 1 and turned his head to stare at you warily.
Slowly lift the bottle. ""I can get you back in arms, like before.
The jailer took it and sniffed it. His brow creased slowly in the light.
""The taste is not right."" ""The moisture is heavy and the medicinal smell is mixed."" You force your composure.
He was silent for a moment and suddenly smiled. ""Then try it yourself.""
You froze.
The next moment, the iron staff fell heavily.
The bottle shattered and the liquid spilled on the wall, emitting a pungent, burning smell.
The jailer leaned down, his voice so low that it was almost in your ear: ""Trying to cheat me? Dare to cheat me!""
He pulled out the short blade. The cold metal slit your throat.
The smell of medicine, blood and ashes mingled in the air.","The night was low and the fire flickered outside the window.
You stare at the unopened bottle of painkiller on the table,
The incense of the medicine mixed with the dust, like 1 unfinished spell.
Outside the iron door came the sound of patrolling, far and near.
Your hand is hanging over the mouth of the bottle, but it is slow to pull it out.
This deal may be a life. Is it really ""salvation?
You whisper, ""I didn't do anything... but I'm going to die in the fire?""
Answer you, only the light of the candle.
You look up at the holy emblem, and light seeps from its cracks,
Like a sneer.","Trigger Ending: [Key Gate]]

The fog of dawn has not yet lifted.
You follow the wet and cold stone path, all the way to the outer wall of the drainage channel.
There was a distant sound of the horn behind, announcing the beginning of the Day of Judgment.
You stop and look at the magic courtyard that is shrouded in fire.
The holy emblem fell in the flames, like a feather broken by God's own hands.
You know you survived.
But you also know-you are not forgiven, you are traded.
In the wind of ashes, you whispered and laughed.
""The salvation of mortals is never prayer.""
You took out the bloody key, the cold light flickered between your fingers,
It's like 1 little sun.","Trigger Ending: [Bloodblood of Hard Labor]]

The horn of the fire sounded at dawn.
You're hanging from the interrogation frame,
By candlelight, the half-refined bottle of pain-relieving ointment was placed under the holy emblem as evidence of ""heretical pseudo-medicine.
The Vice-President reads your guilt:
""Take every medicine as holy medicine, and deceive God's servants with greed.""
You hear the jailer's footsteps echoing off the stage, he clutching the old wound and whispering, ""At least it hurts less.""
The flame engulfs your breath.
At the moment when the ashes are scattered,
You seem to hear the medicine gas burst in the bottle and make a very light sigh of 1 sound.","Stamina +2
Magic +2

The wind before dawn smells of iron.
The candles in the infirmary burned out, and the bottles of Chinese medicine condensed into gray blocks.
The jailer did not come again. The jailer will not come again.
You lean against the wall and hear a distant bell.
You close your eyes and for a moment you almost believe,
Perhaps death is the final innocence. (bribe line termination) ",,End,End,End,End,,8,,,,,,
Day 15 Crime and Punishment,"The morning bell echoed in the fog.
You are dragged out of the cell by chains, and every time the hoop rubs, it is like metal reading the verdict.
The square was full of people.
Their faces blurred in the fire and chill, some praying, some cursing, more just quietly watching.
In the middle of the wooden platform stood a high column of punishment, wrapped with hemp rope and the holy emblem.
The hemp rope is rough, but the holy emblem shines with gold--
Faith is always gentle, and death is always noble.
The vice president walked up the steps and unfolded the scroll of divine forgiveness in his hand,
The voice is clear and cold:
""Elise Merlin, the refined pharmacist, for abusing the Holy Sacrilege and blaspheming,
Falsified healing agents, sent letters to hundreds of poisoning deaths.
In accordance with the Holy Law-Fire.""
You raise your head and the fog blurs the day.
It was 1 a pale color, like an unanswered prayer.",,,,,,,"Trigger Ending: [Ashes Lift]]

Flames climb along the hemp rope, and your body is wrapped in the light of fire.
The air burst with the smell of burning herbs, the sweet smell of stone resin, laurel oil, and blood.
The surrounding noise gradually faded away, only the whisper of the flame.
At the last moment, you see the spire of the temple reflected in the pupil--
Light through the ashes, like the fingers of God touching the earth.
You think of 1 old sutra: ""He who rises to the sky with his soul will be turned into a healing wind.""

The flame devours your breath,
The smoke rose into the sky and turned into silent prayer.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Story background,,,,,,,,,,,,,,,,,,,,,,,
"In the Akanum Empire, magic and religious power ruled together.
You are Elise Merlin, the church's civilian pharmacist.
Two days ago, the Empire broke out the ""poison change of healing agent"" incident-hundreds of soldiers died of poisoning after drinking the healing agent you configured. All of them died of sudden breathing arrest, and dark blue burning marks appeared on the surface of their bodies.
The trial court file will record the ""main deployer"" as you.
However, you are sure that there is nothing wrong with the formula of the healing agent. Is this 1 a premeditated planting or just using you as a shield for others... The tricky thing is that you can't think about this anymore, you are arrested and imprisoned, the court's decision process goes unusually fast, and in 15 days, you will be sent to the execution table.

You have a limited number of days to find the truth, save energy, accumulate magic, and try to escape from prison.

Bribing a jailer? Breaking a prison? Forgery of an amnesty? How do you survive?! Please be prepared.

Physical strength: 10
Magic: 10",,,,,,,,,,,,,,,,,,,,,,,
Stamina value &le; 0,,,,,,,,,,,,,,,,,,,,,,,
"Trigger Outcome: [Erosion of the Body]]
You fell on the cold stone brick, even the strength to lift your fingers has been exhausted.
The shadow of the prison is like a wet shroud, slowly covering your consciousness.
You hear the gaoler's footsteps in the distance, but are powerless to respond.
Hunger, cold, pain-the mortal body is no match for God's cage after all.
At the last moment you close your eyes, the old shadow of the alchemy workshop seems to emerge from the halo of the ash lamp.
It was the afternoon when you made your first bottle of healing, and the sun shone through the shelf like God's unwithdrawn grace.

The next day, the jailer crossed your number in the naming book.
""Prisoner E-9 died of illness last night and has been burned according to the holy law.""
No one asks the cause, and no one remembers your name.
There was no prayer in the wind as the ashes rose into the sky.

",,,,,,,,,,,,,,,,,,,,,,,
Magic value &le; 0,,,,,,,,,,,,,,,,,,,,,,,
"Trigger Outcome: [Pulse Exhausted]]
You feel the magic in your body like quicksand in an hourglass, 1.1 dripping away.
Every breath is like extracting a piece of the soul, and every thought tears the boundaries of consciousness.
You try to mobilize the last shred of magic--
But what responds to you is nothing, and a dead darkness.
The backlash is coming like a tidal wave, devouring your consciousness and disrupting your will.
You are like 1 puppet with an evacuated soul, falling between the unfinished spells on the altar.

""The heretical Elise Merlin, who destroyed himself in prison because his magic was out of control.""
When the flame is lit, your name has been erased from history as if it had never existed.",,,,,,,,,,,,,,,,,,,,,,,
Stamina Value Magic Value &le; 0,,,,,,,,,,,,,,,,,,,,,,,
"Trigger Ending: [Double Ember]]
Your body is like a broken puppet, falling between the stone wall and the iron fence.
The strength has long been exhausted, and the magic is like a candle dying in the wind.
You hear the end of your own heartbeat, like a death knell from a distant bell tower.
The jailer pushed open the iron gate, he was silent for a moment, stretched out his hand and closed your eyes.

""Another alchemist,"" he whispered, ""died in his own medicine and dreams.""
There is no cause of your death on the announcement, only 1 cold conclusion:
""E-9 has returned to silence.""
The ashes are not divided into each other, and the blood and wisdom of mortals will eventually return to the same kind of dust.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
